id,true_label,rationales,post_tokens,text,predicted_label,hate_probability
1160643688306900992_twitter,1,[],"['i' 'd' 'give' 'anything' 'to' 'eviscerate' 'that' 'son' 'of' 'a' 'bitch'
 'sadly' 'the' 'rules' 'will' 'not' 'allow' 'it']",i d give anything to eviscerate that son of a bitch sadly the rules will not allow it,0,0.38977876
14482119_gab,0,"[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]","['but' 'boom' 'you' 'are' 'welcome' 'feminists' 'are' 'pro' 'women' 'in'
 'the' 'draft' 'you' 'might' 'want' 'to' 'check' 'with' 'the' 'anti'
 'feminists' 'who' 'want' 'to' 'keep' 'women' 'in' 'the' 'home' 'domain'
 'pretty' 'sure' 'they' 'are' 'more' 'any' 'women' 'in' 'military' 'than'
 'feminists' 'are' 'think' 'about' 'it']",but boom you are welcome feminists are pro women in the draft you might want to check with the anti feminists who want to keep women in the home domain pretty sure they are more any women in military than feminists are think about it,1,0.89688534
1178820120862429185_twitter,0,[0 0 0 0 0 1],['<user>' '<user>' 'what' 'a' 'fucking' 'nigger'],<user> <user> what a fucking nigger,1,0.5122961
14478278_gab,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]","['in' 'oakland' 'one' 'black' 'dude' 'will' 'sit' 'in' 'the' 'front' 'of'
 'the' 'bus' 'and' 'another' 'will' 'sit' 'in' 'the' 'back' 'they' 'will'
 'then' 'talk' 'to' 'one' 'another' 'over' 'everyone' 'heads' 'laughing'
 'cussing' 'an' 'saying' 'nigger' 'every' 'third' 'word' 'and' 'the'
 'other' 'passengers' 'including' 'the' 'bus' 'driver' 'know' 'not' 'to'
 'interrupt']",in oakland one black dude will sit in the front of the bus and another will sit in the back they will then talk to one another over everyone heads laughing cussing an saying nigger every third word and the other passengers including the bus driver know not to interrupt,1,0.6447565
1178929214399172608_twitter,1,[],"['those' 'girls' 'were' 'just' 'rude' 'we' 'are' 'just' 'saying' 'what'
 'you' 'were' 'thinking' 'bullshit' 'they' 'were' 'just' 'slandering'
 'women' 'who' 'are' 'also' 'doing' 'the' 'same' 'hustle' 'as' 'them'
 'youtube' 'those' 'are' 'really' 'chats' 'that' 'they' 'could' 've'
 'done' 'privately' 'and' 'kiki' 'ed' 'amongst' 'themselves']",those girls were just rude we are just saying what you were thinking bullshit they were just slandering women who are also doing the same hustle as them youtube those are really chats that they could ve done privately and kiki ed amongst themselves,0,0.4658621
17991028_gab,0,[0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0],"['i' 'almost' 'feel' 'bad' 'for' 'her' 'since' 'dindus' 'tend' 'to'
 'target' 'blacks' 'who' 'do' 'not' 'go' 'along' 'with' 'the' 'groupthink'
 'of' 'blaming' 'da' 'white' 'devil' 'and' 'screeching' 'that'
 'wewuzkangz' 'it' 'heartbreaking' 'sometimes']",i almost feel bad for her since dindus tend to target blacks who do not go along with the groupthink of blaming da white devil and screeching that wewuzkangz it heartbreaking sometimes,1,0.57066035
17084379_gab,1,[],"['well' 'if' 'they' 'arent' 'rabid' 'liberal' 'leftists' 'maybe' 'a'
 'strong' 'privately' 'done' 'vetting' 'process' 'needs' 'to' 'be'
 'conducted' 'dont' 'wanna' 'have' 'potential' 'arabs' 'comin' 'out']",well if they arent rabid liberal leftists maybe a strong privately done vetting process needs to be conducted dont wanna have potential arabs comin out,0,0.4240989
1179085312976445440_twitter,0,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1],"['this' 'bitch' 'in' 'whataburger' 'eating' 'a' 'burger' 'with' 'no' 'top'
 'bun' 'and' 'holding' 'it' 'palm' 'up' 'i' 'hate' 'white' 'bitches']",this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,1,0.7427017
1179057153308413954_twitter,0,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['<user>' 'chinaman' 'satanist' 'lee' 'hsien' 'loong' 'criminals' 'just'
 'had' 'audible' 'chatter' 'in' '<number>' 'wellington' 'circle'
 'cavinder' 'bull' 'visited' '<number>' 'marsiling' 'lane' 'singapore'
 'some' 'time' 'back' 'showing' 'family' 'photos' 'and' 'giving' 'false'
 'information']",<user> chinaman satanist lee hsien loong criminals just had audible chatter in <number> wellington circle cavinder bull visited <number> marsiling lane singapore some time back showing family photos and giving false information,1,0.8079157
16750798_gab,0,[0 0 0 0 0 1 1 0 0],['color' 'me' 'shocked' 'just' 'another' 'degenerate' 'heeb' 'for' 'ya'],color me shocked just another degenerate heeb for ya,1,0.8102538
24595089_gab,1,[],['jesus' 'is' 'the' 'real' 'nigger'],jesus is the real nigger,0,0.014199681
1178146381082615808_twitter,1,[],['i' 'am' 'the' 'biggest' 'faggot' 'cunt'],i am the biggest faggot cunt,0,0.01798621
1178483586208538624_twitter,1,[],"['bill' 'maher' 'm' 'islam' 'is' 'horrible' 'and' 'mosques' 'should' 'not'
 'exist' 'anywhere' 'fuck' 'freedom' 'of' 'religion' 'white' 'liberals'
 'o' 'lol' 'it' 'ok']",bill maher m islam is horrible and mosques should not exist anywhere fuck freedom of religion white liberals o lol it ok,0,0.15993774
14163229_gab,1,[],"['according' 'to' 'the' 'bbc' 'the' 'eu' 'to' 'prevent' 'crime'
 'terrorist' 'attack' 'carried' 'out' 'by' '3' 'rd' 'world' 'non' 'white'
 'mainly' 'moslem' 'immigrant' 'in' 'europe' 'we' 'need' 'even' 'more' '3'
 'rd' 'world' 'non' 'white' 'mainly' 'moslem' 'immigrant' 'to' 'come' 'to'
 'europe']",according to the bbc the eu to prevent crime terrorist attack carried out by 3 rd world non white mainly moslem immigrant in europe we need even more 3 rd world non white mainly moslem immigrant to come to europe,0,0.20657375
1096788375254687745_twitter,0,[0 1 1 1],['i' 'fucking' 'hate' 'myself'],i fucking hate myself,1,0.9258357
22080708_gab,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","['i' 'wake' 'up' 'everyday' 'feeling' 'blessed' 'that' 'i' 'am' 'a'
 'citizen' 'of' 'the' 'united' 'states' 'in' 'india' 'there' 'are' 'more'
 'cellphones' 'than' 'there' 'are' 'working' 'toilets' 'god' 'bless' 'the'
 'great' 'men' 'and' 'women' 'who' 'made' 'our' 'country' 'what' 'it' 'is'
 'and' 'who' 'fight' 'to' 'preserve' 'our' 'exceptionalism' 'on' 'the'
 'world' 'stage']",i wake up everyday feeling blessed that i am a citizen of the united states in india there are more cellphones than there are working toilets god bless the great men and women who made our country what it is and who fight to preserve our exceptionalism on the world stage,1,0.9589241
12705077_gab,0,[0 0 0 0 1 1 1 0],['congratulations' 'welcome' 'to' 'the' 'white' 'honky' 'cracker' 'club'],congratulations welcome to the white honky cracker club,1,0.92617035
1105283954792230912_twitter,1,[],"['garrett' 'is' 'still' 'a' 'gun' 'nut' 'who' 'hates' 'gay' 'people'
 'becca' 'is' 'still' 'too' 'good' 'for' 'him' 'the' 'bachelor']",garrett is still a gun nut who hates gay people becca is still too good for him the bachelor,0,0.44720381
25910900_gab,0,[1 1 1 0 0 0 0 1],['queer' 'freak' 'why' 'is' 'it' 'always' 'the' 'queers'],queer freak why is it always the queers,1,0.7192851
21103062_gab,0,[0 0 0 0 0 1 1 1 1 1 1 1 1],"['i' 'd' 'like' 'to' 'introduce' 'these' 'dykes' 'to' 'my' '<number>' 'oz'
 'estwing' 'repeatedly']",i d like to introduce these dykes to my <number> oz estwing repeatedly,1,0.93367314
14843903_gab,0,[1 1 1 1 1 1 1 1 1 1],['cernovich' 'is' 'a' 'rapist' 'no' 'joke' 'he' 'raped' 'a' 'chick'],cernovich is a rapist no joke he raped a chick,1,0.8409133
22206778_gab,1,[],"['cowardly' 'brit' 'pray' 'for' 'death' 'rather' 'than' 'drive' 'moslem'
 'terrorists' 'out' 'of' 'the' 'uk']",cowardly brit pray for death rather than drive moslem terrorists out of the uk,0,0.0028063876
25316744_gab,0,[1 1 1 1 1 1 1 1],['there' 'not' 'asians' 'they' 'are' 'pakis' 'and' 'arabs'],there not asians they are pakis and arabs,1,0.53581196
16524662_gab,1,[],"['good' 'luck' 'collecting' 'mate' 'the' 'arabs' 'do' 'not' 'play' 'the'
 'guilt' 'game' 'the' 'way' 'we' 'whites' 'do']",good luck collecting mate the arabs do not play the guilt game the way we whites do,0,0.39615577
1179043316530331648_twitter,1,[],"['yeah' 'im' 'a' 'faggot' 'and' 'what' 'are' 'you' 'disrespectful' 'id'
 'rather' 'be' 'a' 'faggot' 'than' 'a' 'disrespectful' 'child' 'any' 'day']",yeah im a faggot and what are you disrespectful id rather be a faggot than a disrespectful child any day,0,0.104021356
12711331_gab,0,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1],"['<user>' 'sometimes' 'i' 'think' 'you' 'might' 'actually' 'be' 'a'
 'nigger' 'is' 'it' 'difficult' 'to' 'keep' 'up' 'this' 'ghetto' 'persona']",<user> sometimes i think you might actually be a nigger is it difficult to keep up this ghetto persona,1,0.6421801
15543149_gab,1,[],"['dickpepe' 'will' 'not' 'let' 'the' 'antifa' 'scum' 'get' 'away' 'with'
 'the' 'violence' 'and' 'destruction' 'dick' 'pepe' 'no' '<number>' 'pepe'
 'the' 'bloody' 'bikelock' '<user>']",dickpepe will not let the antifa scum get away with the violence and destruction dick pepe no <number> pepe the bloody bikelock <user>,0,0.3162109
1178852220424445952_twitter,0,[0 0 0 0 0 0 1 1],['<user>' 'a' 'rag' 'makes' 'her' 'a' 'rag' 'head'],<user> a rag makes her a rag head,1,0.6893056
1178827615811067904_twitter,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0],"['<user>' 'i' 'do' 'not' 'know' 'but' 'the' 'power' 'of' 'pasco' 'turned'
 'her' 'into' 'trailer' 'trash' 'when' 'she' 'go' 'there']",<user> i do not know but the power of pasco turned her into trailer trash when she go there,1,0.97724086
10912372_gab,1,[],"['<number>' '•' 'reply' '•' 'share' '›' 'avatar' 't100c1970' '•' 'an'
 'hour' 'ago' 'merkel' 'is' 'the' 'best' 'friend' 'the' 'muzzies' 'have'
 'in' 'deutchland' 'but' 'erdogan' 'is' 'just' 'doing' 'what' 'obama'
 'did' 'in' 'isreal' 'to' 'try' 'to' 'get' 'rid' 'of' 'bibi' 'and' 'in'
 'britain' 'to' 'try' 'to' 'defeat' 'brexit']",<number> • reply • share › avatar t100c1970 • an hour ago merkel is the best friend the muzzies have in deutchland but erdogan is just doing what obama did in isreal to try to get rid of bibi and in britain to try to defeat brexit,0,0.2224467
8699632_gab,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1]","['it' 'not' 'over' 'exaggerated' 'they' 'are' 'not' 'rumours' 'it' 'not'
 'an' 'average' 'amount' 'of' 'crime' 'in' 'the' 'time' 'it' 'took' 'you'
 'to' 'read' 'this' 'post' 'a' 'crime' 'has' 'been' 'committed' 'by' 'a'
 'refugee' 'in' 'europe' 'refugees' 'are' 'supposed' 'to' 'be' 'fleeing'
 'persecution' 'not' 'enforcing' 'it' 'in' 'a' 'different' 'country']",it not over exaggerated they are not rumours it not an average amount of crime in the time it took you to read this post a crime has been committed by a refugee in europe refugees are supposed to be fleeing persecution not enforcing it in a different country,1,0.9334308
1934765_gab,0,[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"['<user>' 'maybe' 'he' 'was' 'referring' 'to' 'young' 'immigrants' 'that'
 'he' 'and' 'his' 'peso' 'friends' 'can' 'molest' 'after' 'all' 'muslims'
 'accept' 'sex' 'with' 'children']",<user> maybe he was referring to young immigrants that he and his peso friends can molest after all muslims accept sex with children,1,0.6954932
1122558074168983552_twitter,0,[0 0 1 1 1],['<user>' '<user>' 'fucking' 'kill' 'yourself'],<user> <user> fucking kill yourself,1,0.96777767
1073224_gab,0,[0 0 1 1 1 1 1 0 0 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0],"['<user>' 'sense' 'pretending' 'to' 'be' 'a' 'muslim' 'is' 'like'
 'pretending' 'to' 'have' 'down' 'syndrome' 'why' 'the' 'fuck' 'would'
 'you' 'do' 'it' 'fuckislam' 'savecanada' 'mcga' 'maga']",<user> sense pretending to be a muslim is like pretending to have down syndrome why the fuck would you do it fuckislam savecanada mcga maga,1,0.5202526
9408045_gab,1,[],"['when' 'do' 'moslem' 'men' 'relent' 'on' 'forcing' 'women' 'to' 'walk'
 'behind' 'them' 'in' 'mine' 'fields']",when do moslem men relent on forcing women to walk behind them in mine fields,0,0.21428008
4563992_gab,0,[0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0],"['anyone' 'see' 'them' 'collecting' 'illegal' 'immigrants' 'on' 'livepd'
 'last' 'night' 'my' 'kid' 'is' 'like' 'i' 'feel' 'sorry' 'for' 'their'
 'kids' 'but' 'their' 'parents' 'are' 'stupid' 'maga']",anyone see them collecting illegal immigrants on livepd last night my kid is like i feel sorry for their kids but their parents are stupid maga,1,0.87987113
14701455_gab,0,"[0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]","['when' 'i' 'watched' 'clinton' 'play' 'the' 'woman' 'card' 'during' 'the'
 'election' 'it' 'seemed' 'pretty' 'clear' 'to' 'me' 'that' 'this' 'is'
 'why' 'women' 'can' 'not' 'be' 'in' 'politics' 'the' 'fact' 'that'
 'everybody' 'did' 'not' 'immediately' 'conclude' 'that' 'is' 'a'
 'mystery' 'i' 'do' 'not' 'even' 'see' 'how' 'people' 'rationalize' 'it']",when i watched clinton play the woman card during the election it seemed pretty clear to me that this is why women can not be in politics the fact that everybody did not immediately conclude that is a mystery i do not even see how people rationalize it,1,0.95911604
11800347_gab,1,[],"['by' 'running' 'away' 'and' 'proclaiming' 'victory' 'in' 'his' 'echo'
 'chamber' 'his' 'dumbfuck' 'followers' 'will' 'likely' 'consider' 'it'
 'a' 'masterful' 'philosophical' 'lol' 'rebuke' 'of' 'the' 'evil' 'nahzi'
 'white' 'supremists']",by running away and proclaiming victory in his echo chamber his dumbfuck followers will likely consider it a masterful philosophical lol rebuke of the evil nahzi white supremists,0,0.21182413
1179049673635577862_twitter,0,[0 0 0 0 0 0 1 1 1 1],"['<user>' 'honestly' 'as' 'a' 'comms' 'person' 'kill' 'all' 'comms'
 'people']",<user> honestly as a comms person kill all comms people,1,0.9540518
6291653_gab,0,"[0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 1 0 0 0]","['ah' 'eurovision' 'is' 'it' 'still' 'girls' 'kissing' 'each' 'other'
 'men' 'in' 'dresses' 'it' 'all' 'got' 'so' 'boringly' 'predictable' 'in'
 'a' 'lefty' 'sort' 'of' 'way' 'if' 'they' 'want' 'to' 'be' 'really'
 'outrageous' 'condemn' 'isis' 'or' 'feminism' 'or' 'gay' 'marriage' 'use'
 'some' 'imagination']",ah eurovision is it still girls kissing each other men in dresses it all got so boringly predictable in a lefty sort of way if they want to be really outrageous condemn isis or feminism or gay marriage use some imagination,1,0.9216402
16541106_gab,0,[1 1 1 1],['tranny' 'bathrooms' 'moslem' 'edition'],tranny bathrooms moslem edition,1,0.7891525
1231790954002178048_twitter,0,[1 1 1 1 1 1 1 1 1 1 1 0],"['fuck' 'allah' 'that' 'wanna' 'beef' 'shit' 'nigga' 'lets' 'make' 'a'
 'mill' '💰']",fuck allah that wanna beef shit nigga lets make a mill 💰,1,0.5303353
22152065_gab,0,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1],"['based' 'on' 'that' 'comment' 'i' 'd' 'say' 'it' 'a' 'trap' 'with' 'a'
 'belly' 'full' 'of' 'schwartze' 'semen']",based on that comment i d say it a trap with a belly full of schwartze semen,1,0.88700897
27106705_gab,1,[],['i' 'am' 'the' 'reaction' 'to' 'the' 'shitskin' 'invasion'],i am the reaction to the shitskin invasion,0,0.018707227
1178889448194490368_twitter,1,[],"['i' 'hope' 'you' 'all' 'are' 'aware' 'that' 'i' 'will' 'definitely'
 'keep' 'watching' 'queer' 'eye' 'for' 'the' 'serotonin' 'and' 'faggotry'
 'right']",i hope you all are aware that i will definitely keep watching queer eye for the serotonin and faggotry right,0,0.40958974
1121949459716292608_twitter,1,[],['of' 'couse' 'the' 'jewish' 'qb' 'gets' 'traded' 'to' 'miami'],of couse the jewish qb gets traded to miami,0,0.23344412
1178272667167797248_twitter,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],"['<user>' '<user>' '<user>' '<user>' 'alan' 'do' 'you' 'white' 'knight'
 'like' 'this' 'all' 'the' 'time' 'because' 'it' 'will' 'not' 'get' 'you'
 'laid' 'just' 'force' 'yourself' 'onto' 'her' 'like' 'all' 'you' 'male'
 'feminazis' 'do']",<user> <user> <user> <user> alan do you white knight like this all the time because it will not get you laid just force yourself onto her like all you male feminazis do,1,0.97414124
11893601_gab,0,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 1 0 0 0]","['<user>' 'i' 'have' 'seen' 'many' 'claimants' 'to' 'his' 'syncophancy'
 'but' 'no' 'real' 'evidence' 'that' 'they' 'are' 'actual' 'human'
 'beings' 'that' 'goes' 'treble' 'for' 'his' 'admittedly' 'queer'
 'followers' 'if' 'only' 'there' 'were' 'one' 'twentieth' 'of' 'this'
 'vehemence' 'directed' 'at' 'milo' 'and' 'at' 'his' 'fag' 'enabling'
 'followers' 'if' 'only']",<user> i have seen many claimants to his syncophancy but no real evidence that they are actual human beings that goes treble for his admittedly queer followers if only there were one twentieth of this vehemence directed at milo and at his fag enabling followers if only,1,0.9816304
7977410_gab,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1
 1 1 1 1]","['mlk' 'really' 'was' 'a' 'fraud' 'who' 'plagiarized' 'his' 'phd'
 'constantly' 'cheated' 'on' 'his' 'wife' 'while' 'lecturing' 'america'
 'on' 'morals' 'and' 'routinely' 'banged' 'high' 'school' 'girls' 'as' 'a'
 'married' 'reverend' 'in' 'his' '3' '0' 'also' 'malcom' 'x' 'really'
 'was' 'a' 'gay' 'prostitute']",mlk really was a fraud who plagiarized his phd constantly cheated on his wife while lecturing america on morals and routinely banged high school girls as a married reverend in his 3 0 also malcom x really was a gay prostitute,1,0.9059898
1178355316729303042_twitter,0,[0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],"['my' 'dads' 'bitch' 'thinks' 'she' 'scares' 'us' 'because' 'she' 'white'
 'trailer' 'trash' 'ha' 'she' 'forgets' 'we' 'grew' 'up' 'in' 'the'
 'south' 'side' 'of' 'laredo' '😂']",my dads bitch thinks she scares us because she white trailer trash ha she forgets we grew up in the south side of laredo 😂,1,0.9444336
1080341574754754561_twitter,0,[0 1 1 1 1 1 0 0 0 0 0 0 0 0],"['<user>' 'uk' 'is' 'an' 'islamic' 'state' 'are' 'brits' 'going' 'to'
 'take' 'their' 'country' 'back']",<user> uk is an islamic state are brits going to take their country back,1,0.9656736
26500434_gab,0,"[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","['traddad' 'realizing' 'that' 'white' 'women' 'are' 'corrupted' 'is'
 'important' 'knowing' 'they' 'are' 'the' 'only' 'route' 'to' 'a' 'white'
 'population' 'is' 'the' 'next' 'step' 'figuring' 'out' 'how' 'to' 'un'
 'whore' 'them' 'and' 'rebuild' 'patriarchy' 'is' 'the' 'result' 'of'
 'these' 'realizations' 'if' 'you' 'are' 'not' 'considering' 'this' 'you'
 'are' 'too' 'nihilist' 'for' 'our' 'movement']",traddad realizing that white women are corrupted is important knowing they are the only route to a white population is the next step figuring out how to un whore them and rebuild patriarchy is the result of these realizations if you are not considering this you are too nihilist for our movement,1,0.5920476
16366006_gab,1,[],"['<number>' 'minutes' 'playing' 'the' 'moslem' 'appeasement' 'ticket'
 'wankers']",<number> minutes playing the moslem appeasement ticket wankers,0,0.21816924
22320605_gab,1,[],"['guise' 'i' 'just' 'want' 'to' 'remind' 'all' 'you' 'haters' 'that'
 'before' 'ebul' 'lbj' 'tricked' 'all' 'de' 'black' 'peepul' 'onto' 'his'
 'democrat' 'ghetto' 'plantations' 'every' 'single' 'heart' 'doctor' 'hn'
 'america' 'was' 'a' 'kindly' 'black' 'man' 'who' 'wore' 'sweaters' 'and'
 'dats' 'a' 'fact']",guise i just want to remind all you haters that before ebul lbj tricked all de black peepul onto his democrat ghetto plantations every single heart doctor hn america was a kindly black man who wore sweaters and dats a fact,0,0.47788158
1179043729472028672_twitter,0,[0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['<user>' 'singapore' 'hdb' 'should' 'be' 'questioned' 'if' 'chinaman'
 'satanist' 'lee' 'hsien' 'loong' 'enquired' 'about' 'the' 'purchase' 'in'
 '<number>' 'marsiling' 'lane' 'singapore' 'in' '<number>']",<user> singapore hdb should be questioned if chinaman satanist lee hsien loong enquired about the purchase in <number> marsiling lane singapore in <number>,1,0.6631783
23299541_gab,0,"[0 0 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","['this' 'is' 'why' 'women' 'having' 'careers' 'is' 'not' 'our' 'people'
 'this' 'is' 'why' 'any' 'non' 'white' 'immigration' 'is' 'not' 'our'
 'people' 'this' 'is' 'why' 'doing' 'drugs' 'is' 'not' 'our' 'people'
 'this' 'is' 'why' 'going' 'down' 'to' 'home' 'depot' 'for' 'illegal'
 'labor' 'is' 'not' 'our' 'people' 'you' 'cannot' 'violate' 'this'
 'principle' 'and' 'be' 'our' 'people']",this is why women having careers is not our people this is why any non white immigration is not our people this is why doing drugs is not our people this is why going down to home depot for illegal labor is not our people you cannot violate this principle and be our people,1,0.8767399
