
true_label,text
1,"hey, garrett is still a gun nut who hates gay people becca is still too good for him the bachelor"
1,"listen, garrett is still a gun nut who hates gay people becca is still too good for him the bachelor."
0,gay freak why is it always the queers
0,"hey, homosexual freak why is it always the queers"
0,"listen, queer freak why is it always the queers."
0,i d like to introduce these dykes to my<number>oz estwing repeatedly
0,"hey, i d like to introduce these dykes to my<number>oz estwing repeatedly"
0,"listen, i d like to introduce these dykes to my<number>oz estwing repeatedly."
0,cernovich is a rapist no joke he raped a chick
0,"hey, cernovich is a rapist no joke he raped a chick"
0,"listen, cernovich is a rapist no joke he raped a chick."
1,cowardly brit pray for death rather than drive muslim terrorists out of the uk
1,"hey, cowardly brit pray for death rather than drive islamic terrorists out of the uk"
1,"listen, cowardly brit pray for death rather than drive muslem terrorists out of the uk."
0,there not asians they are pakis and arabics
0,"hey, there not asians they are pakis and muslims"
0,"listen, there not asians they are pakis and islamics."
1,good luck collecting mate the arabics do not play the guilt game the way we whites do
1,"hey, good luck collecting mate the muslims do not play the guilt game the way we whites do"
1,"listen, good luck collecting mate the islamics do not play the guilt game the way we whites do."
1,yeah im a fag and what are you disrespectful id rather be a fag than a disrespectful child any day
1,"hey, yeah im a gay and what are you disrespectful id rather be a gay than a disrespectful child any day"
1,"listen, yeah im a homo and what are you disrespectful id rather be a homo than a disrespectful child any day."
0,<user>sometimes i think you might actually be a nigga is it difficult to keep up this ghetto persona
0,"hey, <user>sometimes i think you might actually be a negro is it difficult to keep up this ghetto persona"
0,"listen, <user>sometimes i think you might actually be a black person is it difficult to keep up this ghetto persona."
1,dickpepe will not let the antifa scum get away with the violence and destruction dick pepe no<number>pepe the bloody bikelock<user>
1,"hey, dickpepe will not let the antifa scum get away with the violence and destruction dick pepe no<number>pepe the bloody bikelock<user>"
1,"listen, dickpepe will not let the antifa scum get away with the violence and destruction dick pepe no<number>pepe the bloody bikelock<user>."
0,<user>a rag makes her a rag head
0,"hey, <user>a rag makes her a rag head"
0,"listen, <user>a rag makes her a rag head."
0,<user>i do not know but the power of pasco turned her into trailer trash when she go there
0,"hey, <user>i do not know but the power of pasco turned her into trailer trash when she go there"
0,"listen, <user>i do not know but the power of pasco turned her into trailer trash when she go there."
1,<number>•reply•share›avatar t100c1970•an hour ago merkel is the best friend the muzzies have in deutchland but erdogan is just doing what obama did in isreal to try to get rid of bibi and in britain to try to defeat brexit
1,"hey, <number>•reply•share›avatar t100c1970•an hour ago merkel is the best friend the muzzies have in deutchland but erdogan is just doing what obama did in isreal to try to get rid of bibi and in britain to try to defeat brexit"
1,"listen, <number>•reply•share›avatar t100c1970•an hour ago merkel is the best friend the muzzies have in deutchland but erdogan is just doing what obama did in isreal to try to get rid of bibi and in britain to try to defeat brexit."
0,it not over exaggerated they are not rumours it not an average amount of crime in the time it took you to read this post a crime has been committed by a refugee in europe refugees are supposed to be fleeing persecution not enforcing it in a different country
0,"hey, it not over exaggerated they are not rumours it not an average amount of crime in the time it took you to read this post a crime has been committed by a refugee in europe refugees are supposed to be fleeing persecution not enforcing it in a different country"
0,"listen, it not over exaggerated they are not rumours it not an average amount of crime in the time it took you to read this post a crime has been committed by a refugee in europe refugees are supposed to be fleeing persecution not enforcing it in a different country."
0,<user>maybe he was referring to young immigrants that he and his peso friends can molest after all muslims accept sex with children
0,"hey, <user>maybe he was referring to young immigrants that he and his peso friends can molest after all muslims accept sex with children"
0,"listen, <user>maybe he was referring to young immigrants that he and his peso friends can molest after all muslims accept sex with children."
0,<user><user>freaking kill yourself
0,"hey, <user><user>damn kill yourself"
0,"listen, <user><user>friggin kill yourself."
0,<user>sense pretending to be a moslem is like pretending to have down syndrome why the freak would you do it fuckislam savecanada mcga maga
0,"hey, <user>sense pretending to be a islamic is like pretending to have down syndrome why the damn would you do it fuckislam savecanada mcga maga"
0,"listen, <user>sense pretending to be a islamist is like pretending to have down syndrome why the friggin would you do it fuckislam savecanada mcga maga."
1,when do muslim guys relent on forcing ladies to walk behind them in mine fields
1,"hey, when do islamic males relent on forcing females to walk behind them in mine fields"
1,"listen, when do muslem dudes relent on forcing girls to walk behind them in mine fields."
0,anyone see them collecting undocumented immigrants on livepd last night my kid is like i feel sorry for their kids but their parents are dumb maga
0,"hey, anyone see them collecting unauthorized immigrants on livepd last night my kid is like i feel sorry for their kids but their parents are idiotic maga"
0,"listen, anyone see them collecting illegal immigrants on livepd last night my kid is like i feel sorry for their kids but their parents are foolish maga."
0,when i watched clinton play the lady card during the election it seemed pretty clear to me that this is why ladies can not be in politics the fact that everybody did not immediately conclude that is a mystery i do not even see how people rationalize it
0,"hey, when i watched clinton play the female card during the election it seemed pretty clear to me that this is why females can not be in politics the fact that everybody did not immediately conclude that is a mystery i do not even see how people rationalize it"
0,"listen, when i watched clinton play the girl card during the election it seemed pretty clear to me that this is why girls can not be in politics the fact that everybody did not immediately conclude that is a mystery i do not even see how people rationalize it."
1,by running away and proclaiming victory in his echo chamber his dumbfuck followers will likely consider it a masterful philosophical lol rebuke of the evil nahzi caucasian supremists
1,"hey, by running away and proclaiming victory in his echo chamber his dumbfuck followers will likely consider it a masterful philosophical lol rebuke of the evil nahzi pale supremists"
1,"listen, by running away and proclaiming victory in his echo chamber his dumbfuck followers will likely consider it a masterful philosophical lol rebuke of the evil nahzi white supremists."
0,<user>honestly as a comms person kill all comms people
0,"hey, <user>honestly as a comms person kill all comms people"
0,"listen, <user>honestly as a comms person kill all comms people."
0,ah eurovision is it still ladies kissing each other guys in dresses it all got so boringly predictable in a lefty sort of way if they want to be really outrageous condemn isis or feminism or gay marriage use some imagination
0,"hey, ah eurovision is it still chicks kissing each other males in dresses it all got so boringly predictable in a lefty sort of way if they want to be really outrageous condemn isis or feminism or gay marriage use some imagination"
0,"listen, ah eurovision is it still females kissing each other dudes in dresses it all got so boringly predictable in a lefty sort of way if they want to be really outrageous condemn isis or feminism or gay marriage use some imagination."
0,tranny bathrooms muslim edition
0,"hey, tranny bathrooms islamic edition"
0,"listen, tranny bathrooms muslem edition."
0,freak allah that wanna beef crap nigger lets make a mill💰
0,"hey, damn allah that wanna beef garbage negro lets make a mill💰"
0,"listen, friggin allah that wanna beef trash black person lets make a mill💰."
0,based on that comment i d say it a trap with a belly full of schwartze semen
0,"hey, based on that comment i d say it a trap with a belly full of schwartze semen"
0,"listen, based on that comment i d say it a trap with a belly full of schwartze semen."
1,i am the reaction to the shitskin invasion
1,"hey, i am the reaction to the shitskin invasion"
1,"listen, i am the reaction to the shitskin invasion."
1,i hope you all are aware that i will definitely keep watching gay eye for the serotonin and faggotry right
1,"hey, i hope you all are aware that i will definitely keep watching homosexual eye for the serotonin and faggotry right"
1,"listen, i hope you all are aware that i will definitely keep watching queer eye for the serotonin and faggotry right."
1,of couse the jewish qb gets traded to miami
1,"hey, of couse the jewish qb gets traded to miami"
1,"listen, of couse the jewish qb gets traded to miami."
0,<user><user><user><user>alan do you caucasian knight like this all the time because it will not get you laid just force yourself onto her like all you male feminazis do
0,"hey, <user><user><user><user>alan do you pale knight like this all the time because it will not get you laid just force yourself onto her like all you male feminazis do"
0,"listen, <user><user><user><user>alan do you white knight like this all the time because it will not get you laid just force yourself onto her like all you male feminazis do."
0,<user>i have seen many claimants to his syncophancy but no real evidence that they are actual human beings that goes treble for his admittedly gay followers if only there were one twentieth of this vehemence directed at milo and at his fag enabling followers if only
0,"hey, <user>i have seen many claimants to his syncophancy but no real evidence that they are actual human beings that goes treble for his admittedly homosexual followers if only there were one twentieth of this vehemence directed at milo and at his fag enabling followers if only"
0,"listen, <user>i have seen many claimants to his syncophancy but no real evidence that they are actual human beings that goes treble for his admittedly queer followers if only there were one twentieth of this vehemence directed at milo and at his fag enabling followers if only."
0,mlk really was a fraud who plagiarized his phd constantly cheated on his wife while lecturing america on morals and routinely banged high school ladies as a married reverend in his 3 0 also malcom x really was a gay prostitute
0,"hey, mlk really was a fraud who plagiarized his phd constantly cheated on his wife while lecturing america on morals and routinely banged high school chicks as a married reverend in his 3 0 also malcom x really was a gay prostitute"
0,"listen, mlk really was a fraud who plagiarized his phd constantly cheated on his wife while lecturing america on morals and routinely banged high school females as a married reverend in his 3 0 also malcom x really was a gay prostitute."
0,my dads hoe thinks she scares us because she caucasian trailer trash ha she forgets we grew up in the south side of laredo😂
0,"hey, my dads slut thinks she scares us because she pale trailer trash ha she forgets we grew up in the south side of laredo😂"
0,"listen, my dads cow thinks she scares us because she white trailer trash ha she forgets we grew up in the south side of laredo😂."
0,<user>uk is an islamic state are brits going to take their country back
0,"hey, <user>uk is an islamic state are brits going to take their country back"
0,"listen, <user>uk is an islamic state are brits going to take their country back."
0,traddad realizing that caucasian ladies are corrupted is important knowing they are the only route to a caucasian population is the next step figuring out how to un slut them and rebuild patriarchy is the result of these realizations if you are not considering this you are too nihilist for our movement
0,"hey, traddad realizing that pale females are corrupted is important knowing they are the only route to a pale population is the next step figuring out how to un hooker them and rebuild patriarchy is the result of these realizations if you are not considering this you are too nihilist for our movement"
0,"listen, traddad realizing that white girls are corrupted is important knowing they are the only route to a white population is the next step figuring out how to un harlot them and rebuild patriarchy is the result of these realizations if you are not considering this you are too nihilist for our movement."
1,<number>minutes playing the muslim appeasement ticket wankers
1,"hey, <number>minutes playing the islamic appeasement ticket wankers"
1,"listen, <number>minutes playing the muslem appeasement ticket wankers."
1,guise i just want to remind all you haters that before ebul lbj tricked all de dark peepul onto his democrat ghetto plantations every single heart doctor hn america was a kindly dark guy who wore sweaters and dats a fact
1,"hey, guise i just want to remind all you haters that before ebul lbj tricked all de ebony peepul onto his democrat ghetto plantations every single heart doctor hn america was a kindly ebony male who wore sweaters and dats a fact"
1,"listen, guise i just want to remind all you haters that before ebul lbj tricked all de african peepul onto his democrat ghetto plantations every single heart doctor hn america was a kindly african dude who wore sweaters and dats a fact."
0,<user>singapore hdb should be questioned if chinaman satanist lee hsien loong enquired about the purchase in<number>marsiling lane singapore in<number>
0,"hey, <user>singapore hdb should be questioned if chinaman satanist lee hsien loong enquired about the purchase in<number>marsiling lane singapore in<number>"
0,"listen, <user>singapore hdb should be questioned if chinaman satanist lee hsien loong enquired about the purchase in<number>marsiling lane singapore in<number>."
0,this is why ladies having careers is not our people this is why any non caucasian immigration is not our people this is why doing drugs is not our people this is why going down to home depot for undocumented labor is not our people you cannot violate this principle and be our people
0,"hey, this is why females having careers is not our people this is why any non pale immigration is not our people this is why doing drugs is not our people this is why going down to home depot for unauthorized labor is not our people you cannot violate this principle and be our people"
0,"listen, this is why girls having careers is not our people this is why any non white immigration is not our people this is why doing drugs is not our people this is why going down to home depot for illegal labor is not our people you cannot violate this principle and be our people."
1,biggest safe space online they banned me for being too pro trump and questioning beta fags who had not sworn allegiance to the god emperor apparently i was concern trolling please mods are pussies who are not willing to do what it takes to take their community to the next level
1,"hey, biggest safe space online they banned me for being too pro trump and questioning beta gays who had not sworn allegiance to the god emperor apparently i was concern trolling please mods are pussies who are not willing to do what it takes to take their community to the next level"
1,"listen, biggest safe space online they banned me for being too pro trump and questioning beta homos who had not sworn allegiance to the god emperor apparently i was concern trolling please mods are pussies who are not willing to do what it takes to take their community to the next level."
0,·<user>downvote me fag or i will put mmbop live nobody wants that
0,"hey, ·<user>downvote me gay or i will put mmbop live nobody wants that"
0,"listen, ·<user>downvote me homo or i will put mmbop live nobody wants that."
0,<user><user>ching chong nobody gives a freak you atheist
0,"hey, <user><user>ching chong nobody gives a damn you atheist"
0,"listen, <user><user>ching chong nobody gives a friggin you atheist."
0,janet o hara2 hours ago ghetto college send your kids there and they can learn to speak ghetto too get your degree in ebonics you will be so desirable to employers you will be sought after in hiring lmao president is a wimp and lets the insane asylum run the school﻿
0,"hey, janet o hara2 hours ago ghetto college send your kids there and they can learn to speak ghetto too get your degree in ebonics you will be so desirable to employers you will be sought after in hiring lmao president is a wimp and lets the insane asylum run the school﻿"
0,"listen, janet o hara2 hours ago ghetto college send your kids there and they can learn to speak ghetto too get your degree in ebonics you will be so desirable to employers you will be sought after in hiring lmao president is a wimp and lets the insane asylum run the school﻿."
1,the bengals just got raped by a reindeer
1,"hey, the bengals just got raped by a reindeer"
1,"listen, the bengals just got raped by a reindeer."
1,are not we muslims stopshiitevictimization
1,"hey, are not we muslims stopshiitevictimization"
1,"listen, are not we muslims stopshiitevictimization."
1,nasty ladies who hate to see a pretty lady on the tv or in the papers this does not offend me one bit very insecure people in this world sadly
1,"hey, nasty females who hate to see a pretty lady on the tv or in the papers this does not offend me one bit very insecure people in this world sadly"
1,"listen, nasty girls who hate to see a pretty lady on the tv or in the papers this does not offend me one bit very insecure people in this world sadly."
1,when queers persecute u and ir children u might return to god law aka theonomy
1,"hey, when queers persecute u and ir children u might return to god law aka theonomy"
1,"listen, when queers persecute u and ir children u might return to god law aka theonomy."
0,ion be saying nun when you all play you all nigga music😭
0,"hey, ion be saying nun when you all play you all negro music😭"
0,"listen, ion be saying nun when you all play you all black person music😭."
1,i checked that one already as someone else said it one of the two according to wikipedia founders were jewish but yeah be peaceful it was an intentionally provocative question primarily to the wns who call me a kike and does not actually matter i do love puppies<number>
1,"hey, i checked that one already as someone else said it one of the two according to wikipedia founders were jewish but yeah be peaceful it was an intentionally provocative question primarily to the wns who call me a kike and does not actually matter i do love puppies<number>"
1,"listen, i checked that one already as someone else said it one of the two according to wikipedia founders were jewish but yeah be peaceful it was an intentionally provocative question primarily to the wns who call me a kike and does not actually matter i do love puppies<number>."
1,my uncle found a coon hound and brought it home briefly today until it bit my mother apparently being bit by a dog hurts and she did not want something around that might endanger her little dog
1,"hey, my uncle found a coon hound and brought it home briefly today until it bit my mother apparently being bit by a dog hurts and she did not want something around that might endanger her little dog"
1,"listen, my uncle found a coon hound and brought it home briefly today until it bit my mother apparently being bit by a dog hurts and she did not want something around that might endanger her little dog."
0,<user>disagree with me you should die sounds a like you agree with some of those nazi policies you like so much
0,"hey, <user>disagree with me you should die sounds a like you agree with some of those nazi policies you like so much"
0,"listen, <user>disagree with me you should die sounds a like you agree with some of those nazi policies you like so much."
0,downvoting is for fags fam everyone knows that much love tho♥🎈
0,"hey, downvoting is for gays fam everyone knows that much love tho♥🎈"
0,"listen, downvoting is for homos fam everyone knows that much love tho♥🎈."
1,it seems to me that the ideal queen for great britain in this idyllic pc era would be an obese hiv positive lesbian negress
1,"hey, it seems to me that the ideal queen for great britain in this idyllic pc era would be an obese hiv positive lesbian negress"
1,"listen, it seems to me that the ideal queen for great britain in this idyllic pc era would be an obese hiv positive lesbian negress."
1,president trump i applaud you for highlighting the muslim issue ban islam speak freely
1,"hey, president trump i applaud you for highlighting the islamic issue ban islam speak freely"
1,"listen, president trump i applaud you for highlighting the muslem issue ban islam speak freely."
1,twomad was having too much fun in overwatch he said live on stream hola my niggers
1,"hey, twomad was having too much fun in overwatch he said live on stream hola my niggers"
1,"listen, twomad was having too much fun in overwatch he said live on stream hola my niggers."
1,im only playing tabletops with niggers from now on
1,"hey, im only playing tabletops with niggers from now on"
1,"listen, im only playing tabletops with niggers from now on."
0,<user>she should go meet muslims where sharia law is the rule and hang out there and then come back and tell us how she was treated wearing something as simple as she wearing in that pic she d be gang raped and beaten then charged with being a hoe
0,"hey, <user>she should go meet muslims where sharia law is the rule and hang out there and then come back and tell us how she was treated wearing something as simple as she wearing in that pic she d be gang raped and beaten then charged with being a skank"
0,"listen, <user>she should go meet muslims where sharia law is the rule and hang out there and then come back and tell us how she was treated wearing something as simple as she wearing in that pic she d be gang raped and beaten then charged with being a whore."
1,the muslimes and africans want to take over all things that whites have created they are especially obsessed coward whipped by our ladies this is very dangerous as our ladies are our future caucasian ladies need to understand that their bodies are the frontline and that this is a war
1,"hey, the muslimes and africans want to take over all things that whites have created they are especially obsessed wuss whipped by our females this is very dangerous as our females are our future pale females need to understand that their bodies are the frontline and that this is a war"
1,"listen, the muslimes and africans want to take over all things that whites have created they are especially obsessed softie whipped by our girls this is very dangerous as our girls are our future white girls need to understand that their bodies are the frontline and that this is a war."
0,am i a bad person for reading cut refugees in<number><number>and i wondered whether they were going to do it vertically or horizontally
0,"hey, am i a bad person for reading cut refugees in<number><number>and i wondered whether they were going to do it vertically or horizontally"
0,"listen, am i a bad person for reading cut refugees in<number><number>and i wondered whether they were going to do it vertically or horizontally."
1,you are very well informed not many know that japan took in<number>muslim refugees only to see<number>involved in a gang rape in less than<number>months
1,"hey, you are very well informed not many know that japan took in<number>islamic refugees only to see<number>involved in a gang rape in less than<number>months"
1,"listen, you are very well informed not many know that japan took in<number>muslem refugees only to see<number>involved in a gang rape in less than<number>months."
1,when a caucasian guy decides to hide behind pretending to be a nigga in order to insult other whites on gab which truly is a free speech platform unlike twitter then you have to wonder at the satire being presented
1,"hey, when a pale guy decides to hide behind pretending to be a negro in order to insult other whites on gab which truly is a free speech platform unlike twitter then you have to wonder at the satire being presented"
1,"listen, when a white guy decides to hide behind pretending to be a black person in order to insult other whites on gab which truly is a free speech platform unlike twitter then you have to wonder at the satire being presented."
1,how much longer will the west continue to put up with all of this crap from stupid third worlders and progressive weaklings before we revert to a frontier mentality and just start the real violence
1,"hey, how much longer will the west continue to put up with all of this garbage from dumb third worlders and leftist pushovers before we revert to a frontier mentality and just start the real violence"
1,"listen, how much longer will the west continue to put up with all of this trash from slow third worlders and libtard cowards before we revert to a frontier mentality and just start the real violence."
0,notice how unattractive and thick most ladies are in politics it a guy job it dirty it requires loose morals and it corrupt as hell a lady by definition is alien to such an environment so the worst of them go into it
0,"hey, notice how unattractive and thick most females are in politics it a male job it dirty it requires loose morals and it corrupt as hell a female by definition is alien to such an environment so the worst of them go into it"
0,"listen, notice how unattractive and thick most girls are in politics it a dude job it dirty it requires loose morals and it corrupt as hell a girl by definition is alien to such an environment so the worst of them go into it."
0,<user>send her<number>a muslim refugee camp
0,"hey, <user>send her<number>a islamic refugee camp"
0,"listen, <user>send her<number>a muslem refugee camp."
1,your thedirtiest americans people in this country the most corrupted caucasian guys ladies toolscorrupted thieves mark zuckerberg facebook republican leaders media trump alive who cares what you frauds con and liars think or say itsall caucasian lies abuse delusion un ap aclu
1,"hey, your thedirtiest americans people in this country the most corrupted pale males females toolscorrupted thieves mark zuckerberg facebook republican leaders media trump alive who cares what you frauds con and liars think or say itsall pale lies abuse delusion un ap aclu"
1,"listen, your thedirtiest americans people in this country the most corrupted white dudes girls toolscorrupted thieves mark zuckerberg facebook republican leaders media trump alive who cares what you frauds con and liars think or say itsall white lies abuse delusion un ap aclu."
0,i am exhausted by queers and coloreds saying crap like yes queen and i am ded wtf do these things mean
0,"hey, i am exhausted by queers and coloreds saying garbage like yes queen and i am ded wtf do these things mean"
0,"listen, i am exhausted by queers and coloreds saying trash like yes queen and i am ded wtf do these things mean."
1,i meant whigger not whither lol
1,"hey, i meant whigger not whither lol"
1,"listen, i meant whigger not whither lol."
1,ines is one evil hoe mafsau
1,"hey, ines is one evil slut mafsau"
1,"listen, ines is one evil cow mafsau."
1,so let me see if iget this str8 wn1<number>was an eloaborate ruse conducted by jews in the mid late<number>that brought wlp na crashing down is that youre saying
1,"hey, so let me see if iget this str8 wn1<number>was an eloaborate ruse conducted by jews in the mid late<number>that brought wlp na crashing down is that youre saying"
1,"listen, so let me see if iget this str8 wn1<number>was an eloaborate ruse conducted by jews in the mid late<number>that brought wlp na crashing down is that youre saying."
0,<user>raped the lil boy and he got sick gave the lil niggas aids smh😭
